	(0, 0, 0, 0)	(0, 0, 0, 1)	(0, 0, 1, 0)	(0, 0, 1, 1)	(0, 1, 0, 0)	(0, 1, 0, 1)	(0, 1, 1, 0)	(0, 1, 1, 1)	(1, 0, 0, 0)	(1, 0, 0, 1)	(1, 0, 1, 0)	(1, 0, 1, 1)	(1, 1, 0, 0)	(1, 1, 0, 1)	(1, 1, 1, 0)	(1, 1, 1, 1)	edge_sign
(6, 80)	21	1	4	0	0	1	0	1	0	0	0	0	0	0	1	0	0
(80, 6)	21	0	0	0	1	1	0	0	4	0	0	1	0	1	0	0	0
(6, 86)	19	1	13	0	3	3	0	0	0	1	0	0	0	0	1	0	0
(86, 6)	19	3	0	0	1	3	1	0	13	0	0	1	0	0	0	0	0
(6, 87)	20	2	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0
(87, 6)	20	6	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
(6, 94)	5	25	0	4	0	3	0	0	1	1	0	0	0	0	0	1	-1
(94, 6)	5	0	1	0	25	3	1	0	0	0	0	0	4	0	0	1	0
(6, 138)	22	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
(138, 6)	22	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
(6, 151)	11	10	2	1	1	3	0	1	0	0	1	1	0	0	0	0	1
(151, 6)	11	1	0	0	10	3	0	0	2	0	1	0	1	1	1	0	0
(6, 154)	14	3	4	0	2	2	0	0	0	0	3	0	0	0	0	1	1
(154, 6)	14	2	0	0	3	2	0	0	4	0	3	0	0	0	0	1	0
(6, 171)	13	1	4	7	2	1	2	0	0	0	1	0	0	0	0	0	-1
(171, 6)	13	2	0	0	1	1	0	0	4	2	1	0	7	0	0	0	0
(6, 173)	43	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
(173, 6)	43	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(6, 182)	8	7	5	0	0	5	0	0	0	1	3	0	0	0	0	0	1
(182, 6)	8	0	0	0	7	5	1	0	5	0	3	0	0	0	0	0	0
(6, 214)	0	0	10	7	0	0	1	1	0	0	5	0	0	0	0	1	0
(214, 6)	0	0	0	0	0	0	0	0	10	1	5	0	7	1	0	1	0
(6, 255)	21	2	2	0	1	1	0	0	0	1	1	0	0	0	1	0	0
(255, 6)	21	1	0	0	2	1	1	0	2	0	1	1	0	0	0	0	0
(6, 271)	0	0	23	2	0	0	1	1	0	0	5	0	0	0	1	0	1
(271, 6)	0	0	0	0	0	0	0	0	23	1	5	1	2	1	0	0	0
(6, 282)	8	1	14	4	1	1	1	1	0	1	2	1	0	0	0	1	0
(282, 6)	8	1	0	0	1	1	1	0	14	1	2	0	4	1	1	1	0
(6, 299)	0	0	11	7	0	0	4	1	0	0	4	0	0	0	1	0	-1
(299, 6)	0	0	0	0	0	0	0	0	11	4	4	1	7	1	0	0	0
(6, 304)	15	0	6	1	2	4	1	1	0	0	0	0	0	0	0	0	1
(304, 6)	15	2	0	0	0	4	0	0	6	1	0	0	1	1	0	0	0
(6, 306)	34	0	2	0	2	5	0	0	0	0	1	0	0	0	0	0	1
(306, 6)	34	2	0	0	0	5	0	0	2	0	1	0	0	0	0	0	0
(6, 308)	23	0	6	0	4	1	2	0	0	0	0	0	0	0	1	0	0
(308, 6)	23	4	0	0	0	1	0	0	6	2	0	1	0	0	0	0	0
(6, 310)	33	0	10	0	10	0	0	0	1	0	4	0	0	0	1	0	0
(310, 6)	33	10	1	0	0	0	0	0	10	0	4	1	0	0	0	0	0
(6, 311)	26	1	3	0	5	4	0	0	1	0	0	0	0	0	0	0	0
(311, 6)	26	5	1	0	1	4	0	0	3	0	0	0	0	0	0	0	0
(6, 312)	37	2	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0
(312, 6)	37	4	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
(6, 317)	28	0	6	0	4	3	0	0	0	0	1	0	0	0	0	0	-1
(317, 6)	28	4	0	0	0	3	0	0	6	0	1	0	0	0	0	0	0
(6, 319)	21	1	3	0	2	3	0	0	0	0	3	0	0	0	0	0	1
(319, 6)	21	2	0	0	1	3	0	0	3	0	3	0	0	0	0	0	0
(6, 371)	20	0	3	0	5	0	0	0	1	0	3	0	0	0	1	0	1
(371, 6)	20	5	1	0	0	0	0	0	3	0	3	1	0	0	0	0	0
(6, 407)	9	11	7	11	1	2	3	0	0	0	0	1	0	0	1	0	-1
(407, 6)	9	1	0	0	11	2	0	0	7	3	0	1	11	0	1	0	0
(6, 457)	24	7	0	0	9	1	0	0	0	2	0	0	0	0	0	0	0
(457, 6)	24	9	0	0	7	1	2	0	0	0	0	0	0	0	0	0	0
(6, 600)	22	2	10	0	0	3	0	0	0	0	1	0	0	0	0	0	1
(600, 6)	22	0	0	0	2	3	0	0	10	0	1	0	0	0	0	0	0
(6, 663)	19	4	5	1	2	3	0	2	0	1	0	0	0	0	0	0	0
(663, 6)	19	2	0	0	4	3	1	0	5	0	0	0	1	2	0	0	0
(6, 706)	12	5	4	0	4	7	0	0	0	1	0	0	0	0	1	0	0
(706, 6)	12	4	0	0	5	7	1	0	4	0	0	1	0	0	0	0	0
(6, 707)	19	0	2	0	2	3	1	0	0	0	1	0	0	0	0	0	0
(707, 6)	19	2	0	0	0	3	0	0	2	1	1	0	0	0	0	0	0
(6, 710)	12	2	4	0	2	3	1	0	0	1	1	0	0	0	0	0	0
(710, 6)	12	2	0	0	2	3	1	0	4	1	1	0	0	0	0	0	0
(6, 722)	10	10	5	0	0	10	1	0	0	0	1	0	0	0	0	0	0
(722, 6)	10	0	0	0	10	10	0	0	5	1	1	0	0	0	0	0	0
(6, 762)	8	2	12	4	0	2	2	0	0	0	2	0	0	0	0	0	0
(762, 6)	8	0	0	0	2	2	0	0	12	2	2	0	4	0	0	0	0
(6, 769)	19	2	4	0	4	0	2	0	1	0	0	0	0	0	0	0	0
(769, 6)	19	4	1	0	2	0	0	0	4	2	0	0	0	0	0	0	0
(6, 784)	14	2	2	0	8	3	0	0	1	0	1	0	0	0	0	0	0
(784, 6)	14	8	1	0	2	3	0	0	2	0	1	0	0	0	0	0	0
(6, 789)	19	8	6	0	3	8	0	1	0	1	0	0	0	0	0	0	0
(789, 6)	19	3	0	0	8	8	1	0	6	0	0	0	0	1	0	0	0
(6, 805)	15	1	9	0	1	1	1	0	0	0	1	0	0	0	0	0	0
(805, 6)	15	1	0	0	1	1	0	0	9	1	1	0	0	0	0	0	0
(6, 826)	16	4	5	0	3	5	1	0	0	0	0	0	0	0	0	0	0
(826, 6)	16	3	0	0	4	5	0	0	5	1	0	0	0	0	0	0	0
(6, 904)	6	10	4	4	5	6	2	0	0	0	1	0	0	0	0	0	-1
(904, 6)	6	5	0	0	10	6	0	0	4	2	1	0	4	0	0	0	0
(6, 922)	21	1	3	1	4	3	0	0	0	0	1	0	0	0	0	0	1
(922, 6)	21	4	0	0	1	3	0	0	3	0	1	0	1	0	0	0	0
(6, 941)	16	0	5	0	2	1	2	0	1	0	0	0	0	0	0	0	0
(941, 6)	16	2	1	0	0	1	0	0	5	2	0	0	0	0	0	0	0
(6, 971)	13	1	8	0	5	5	0	1	0	0	1	0	0	0	0	0	0
(971, 6)	13	5	0	0	1	5	0	0	8	0	1	0	0	1	0	0	0
(6, 978)	9	1	8	7	3	2	1	0	1	0	1	0	0	0	0	0	1
(978, 6)	9	3	1	0	1	2	0	0	8	1	1	0	7	0	0	0	0
(6, 993)	25	1	15	0	7	2	5	0	1	0	1	0	0	0	0	0	1
(993, 6)	25	7	1	0	1	2	0	0	15	5	1	0	0	0	0	0	0
(6, 1006)	28	1	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0
(1006, 6)	28	4	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
(6, 1029)	5	32	0	4	0	12	0	0	0	0	0	0	0	0	0	0	0
(1029, 6)	5	0	0	0	32	12	0	0	0	0	0	0	4	0	0	0	0
(6, 1055)	20	3	3	0	3	3	1	0	0	0	1	0	0	0	0	0	0
(1055, 6)	20	3	0	0	3	3	0	0	3	1	1	0	0	0	0	0	0
(6, 1151)	14	1	4	2	4	0	2	0	1	0	1	0	0	0	0	0	0
(1151, 6)	14	4	1	0	1	0	0	0	4	2	1	0	2	0	0	0	0
(6, 1164)	3	4	9	0	2	4	2	0	0	0	1	0	0	0	0	0	0
(1164, 6)	3	2	0	0	4	4	0	0	9	2	1	0	0	0	0	0	0
(6, 1166)	3	8	4	0	2	8	0	0	0	1	0	0	0	0	0	0	0
(1166, 6)	3	2	0	0	8	8	1	0	4	0	0	0	0	0	0	0	0
(6, 1167)	14	8	7	0	0	10	2	0	0	1	1	0	0	0	0	0	1
(1167, 6)	14	0	0	0	8	10	1	0	7	2	1	0	0	0	0	0	0
(6, 1201)	7	0	11	0	2	1	5	1	0	0	1	0	0	0	0	0	0
(1201, 6)	7	2	0	0	0	1	0	0	11	5	1	0	0	1	0	0	0
(6, 1211)	5	2	7	7	3	1	3	0	0	0	2	0	0	0	0	0	0
(1211, 6)	5	3	0	0	2	1	0	0	7	3	2	0	7	0	0	0	0
(6, 1236)	17	1	6	0	4	1	1	0	0	0	0	0	0	0	0	0	0
(1236, 6)	17	4	0	0	1	1	0	0	6	1	0	0	0	0	0	0	0
(6, 1279)	23	3	10	0	5	1	3	0	0	0	1	0	0	0	0	0	0
(1279, 6)	23	5	0	0	3	1	0	0	10	3	1	0	0	0	0	0	0
(6, 1297)	4	0	19	6	3	1	6	1	0	0	1	0	0	0	0	0	1
(1297, 6)	4	3	0	0	0	1	0	0	19	6	1	0	6	1	0	0	0
(6, 1319)	13	1	8	1	7	1	1	1	0	0	1	0	0	0	0	0	0
(1319, 6)	13	7	0	0	1	1	0	0	8	1	1	0	1	1	0	0	0
(6, 1374)	9	3	5	1	1	7	1	0	1	0	1	0	0	0	0	0	0
(1374, 6)	9	1	1	0	3	7	0	0	5	1	1	0	1	0	0	0	0
(6, 1428)	14	3	10	2	2	1	3	0	0	1	0	1	0	0	0	0	-1
(1428, 6)	14	2	0	0	3	1	1	0	10	3	0	0	2	0	1	0	0
(6, 1471)	10	2	7	1	0	4	1	2	0	1	2	0	0	0	0	0	1
(1471, 6)	10	0	0	0	2	4	1	0	7	1	2	0	1	2	0	0	0
(6, 1487)	14	0	7	0	6	0	2	0	0	0	1	0	0	0	0	0	1
(1487, 6)	14	6	0	0	0	0	0	0	7	2	1	0	0	0	0	0	0
(6, 1489)	9	4	6	1	1	1	1	1	0	0	1	0	0	0	0	0	1
(1489, 6)	9	1	0	0	4	1	0	0	6	1	1	0	1	1	0	0	0
(6, 1492)	16	0	5	0	1	0	2	0	0	0	1	0	0	0	0	0	0
(1492, 6)	16	1	0	0	0	0	0	0	5	2	1	0	0	0	0	0	0
(6, 1496)	11	0	5	0	6	1	5	0	0	0	0	0	0	0	0	0	0
(1496, 6)	11	6	0	0	0	1	0	0	5	5	0	0	0	0	0	0	0
(6, 1549)	20	1	6	1	5	1	1	2	1	1	2	0	0	0	0	0	1
(1549, 6)	20	5	1	0	1	1	1	0	6	1	2	0	1	2	0	0	0
(6, 1608)	18	4	4	2	4	2	0	0	0	0	0	0	0	0	0	0	0
(1608, 6)	18	4	0	0	4	2	0	0	4	0	0	0	2	0	0	0	0
(6, 1615)	16	12	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0
(1615, 6)	16	0	0	0	12	5	2	0	0	0	0	0	0	0	0	0	0
(8, 9)	26	4	0	0	1	1	0	0	5	0	0	0	1	0	0	0	0
(9, 8)	26	1	5	1	4	1	0	0	0	0	0	0	0	0	0	0	-1
(8, 10)	27	3	0	0	1	5	0	0	3	0	3	0	0	0	1	2	1
(10, 8)	27	1	3	0	3	5	0	0	0	0	3	1	0	0	0	2	1
(8, 11)	50	2	0	0	6	6	0	0	7	0	0	0	0	0	0	0	0
(11, 8)	50	6	7	0	2	6	0	0	0	0	0	0	0	0	0	0	1
(8, 14)	21	4	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0
(14, 8)	21	1	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0
(8, 15)	8	1	7	2	0	0	0	0	3	0	2	1	0	0	2	0	0
(15, 8)	8	0	3	0	1	0	0	0	7	0	2	2	2	0	1	0	1
(8, 19)	21	0	3	0	1	0	0	0	2	0	3	0	0	0	1	1	1
(19, 8)	21	1	2	0	0	0	0	0	3	0	3	1	0	0	0	1	0
(8, 20)	39	5	0	0	0	3	0	0	3	0	0	0	1	0	0	0	0
(20, 8)	39	0	3	1	5	3	0	0	0	0	0	0	0	0	0	0	0
(8, 21)	26	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
(21, 8)	26	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
(8, 23)	17	9	2	0	0	4	0	0	1	0	4	0	1	0	0	0	1
(23, 8)	17	0	1	1	9	4	0	0	2	0	4	0	0	0	0	0	0
(8, 25)	26	13	0	0	0	6	0	0	4	0	0	0	1	0	0	0	0
(25, 8)	26	0	4	1	13	6	0	0	0	0	0	0	0	0	0	0	-1
(8, 26)	40	2	0	0	2	4	0	0	2	0	0	0	0	0	0	0	0
(26, 8)	40	2	2	0	2	4	0	0	0	0	0	0	0	0	0	0	0
(8, 27)	24	3	0	0	0	8	0	0	2	0	0	0	0	0	0	0	0
(27, 8)	24	0	2	0	3	8	0	0	0	0	0	0	0	0	0	0	0
(8, 28)	36	4	6	3	1	9	1	0	2	0	8	2	0	0	2	3	1
(28, 8)	36	1	2	0	4	9	0	0	6	1	8	2	3	0	2	3	1
(8, 29)	30	1	7	0	7	0	2	0	3	1	2	0	0	0	3	1	0
(29, 8)	30	7	3	0	1	0	1	0	7	2	2	3	0	0	0	1	1
(8, 33)	8	0	6	0	0	2	0	0	1	0	6	0	0	0	4	0	0
(33, 8)	8	0	1	0	0	2	0	0	6	0	6	4	0	0	0	0	1
(8, 35)	15	0	8	0	1	1	3	0	1	0	1	0	0	0	0	0	0
(35, 8)	15	1	1	0	0	1	0	0	8	3	1	0	0	0	0	0	0
(8, 36)	19	0	4	0	1	0	0	0	3	0	1	0	1	0	1	0	1
(36, 8)	19	1	3	1	0	0	0	0	4	0	1	1	0	0	0	0	0
(8, 39)	16	1	2	1	2	0	1	0	4	0	3	0	0	0	0	1	1
(39, 8)	16	2	4	0	1	0	0	0	2	1	3	0	1	0	0	1	0
(8, 47)	20	6	0	0	3	1	0	0	0	2	0	0	1	0	0	0	0
(47, 8)	20	3	0	1	6	1	2	0	0	0	0	0	0	0	0	0	-1
(8, 55)	15	3	8	0	0	2	0	0	2	0	5	1	1	0	5	1	1
(55, 8)	15	0	2	1	3	2	0	0	8	0	5	5	0	0	1	1	1
(8, 56)	3	1	4	8	1	0	1	0	0	1	5	2	0	0	2	4	1
(56, 8)	3	1	0	0	1	0	1	0	4	1	5	2	8	0	2	4	0
(8, 72)	22	6	1	2	1	4	0	1	1	1	2	0	0	0	0	4	0
(72, 8)	22	1	1	0	6	4	1	0	1	0	2	0	2	1	0	4	1
(8, 80)	18	2	5	0	1	1	0	0	5	0	1	0	0	0	3	0	1
(80, 8)	18	1	5	0	2	1	0	0	5	0	1	3	0	0	0	0	-1
(8, 86)	10	3	13	0	2	1	1	0	2	1	4	0	0	0	2	0	1
(86, 8)	10	2	2	0	3	1	1	0	13	1	4	2	0	0	0	0	0
(8, 94)	6	27	0	5	0	6	0	1	0	1	1	3	0	1	0	4	0
(94, 8)	6	0	0	0	27	6	1	1	0	0	1	0	5	1	3	4	0
(8, 138)	26	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0
(138, 8)	26	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
(8, 152)	7	3	6	0	0	1	0	0	2	0	4	2	0	0	3	1	0
(152, 8)	7	0	2	0	3	1	0	0	6	0	4	3	0	0	2	1	0
(8, 154)	13	2	2	0	2	1	0	0	2	0	5	0	1	0	1	1	0
(154, 8)	13	2	2	1	2	1	0	0	2	0	5	1	0	0	0	1	0
(8, 178)	10	2	6	0	0	2	0	0	0	1	4	0	0	0	1	0	1
(178, 8)	10	0	0	0	2	2	1	0	6	0	4	1	0	0	0	0	0
(8, 214)	0	0	7	3	0	0	1	0	0	0	9	1	0	0	0	8	1
(214, 8)	0	0	0	0	0	0	0	0	7	1	9	0	3	0	1	8	0
(8, 236)	17	0	6	0	1	0	0	0	1	0	2	0	1	0	1	0	1
(236, 8)	17	1	1	1	0	0	0	0	6	0	2	1	0	0	0	0	0
(8, 255)	21	1	6	0	1	2	0	0	2	0	2	0	0	0	3	0	0
(255, 8)	21	1	2	0	1	2	0	0	6	0	2	3	0	0	0	0	0
(8, 271)	0	0	24	1	0	0	2	0	0	0	8	1	0	0	6	0	0
(271, 8)	0	0	0	0	0	0	0	0	24	2	8	6	1	0	1	0	0
(8, 282)	13	1	15	3	1	0	1	0	0	0	4	2	0	0	1	3	1
(282, 8)	13	1	0	0	1	0	0	0	15	1	4	1	3	0	2	3	0
(8, 299)	0	0	14	4	0	0	0	2	0	0	7	4	0	0	3	3	1
(299, 8)	0	0	0	0	0	0	0	0	14	0	7	3	4	2	4	3	0
(8, 306)	19	1	2	0	2	7	0	0	1	0	1	0	0	0	0	0	0
(306, 8)	19	2	1	0	1	7	0	0	2	0	1	0	0	0	0	0	0
(8, 310)	19	1	13	0	2	2	0	0	0	0	4	0	0	0	3	0	0
(310, 8)	19	2	0	0	1	2	0	0	13	0	4	3	0	0	0	0	0
(8, 312)	25	0	0	0	1	3	0	0	2	0	0	0	0	0	0	0	0
(312, 8)	25	1	2	0	0	3	0	0	0	0	0	0	0	0	0	0	1
(8, 317)	11	2	5	0	1	2	0	0	1	0	4	0	0	0	1	0	0
(317, 8)	11	1	1	0	2	2	0	0	5	0	4	1	0	0	0	0	0
(8, 319)	19	0	4	0	2	2	0	0	1	0	3	0	0	0	1	0	1
(319, 8)	19	2	1	0	0	2	0	0	4	0	3	1	0	0	0	0	1
(8, 325)	3	2	13	0	0	2	0	0	0	0	3	1	0	0	2	0	0
(325, 8)	3	0	0	0	2	2	0	0	13	0	3	2	0	0	1	0	0
(8, 339)	22	1	2	0	1	1	1	0	0	0	2	0	0	0	2	0	1
(339, 8)	22	1	0	0	1	1	0	0	2	1	2	2	0	0	0	0	0
(8, 407)	4	3	8	8	1	0	1	1	1	1	4	2	0	0	2	2	0
(407, 8)	4	1	1	0	3	0	1	0	8	1	4	2	8	1	2	2	0
(8, 600)	12	2	12	0	0	0	0	0	2	1	4	1	0	0	1	0	1
(600, 8)	12	0	2	0	2	0	1	0	12	0	4	1	0	0	1	0	0
(8, 663)	17	3	5	2	0	1	0	0	0	1	1	1	0	0	1	0	0
(663, 8)	17	0	0	0	3	1	1	0	5	0	1	1	2	0	1	0	0
(8, 730)	5	0	12	0	0	1	0	0	0	0	5	2	0	0	1	0	0
(730, 8)	5	0	0	0	0	1	0	0	12	0	5	1	0	0	2	0	0
(8, 857)	0	0	12	4	0	0	2	0	0	0	4	2	0	0	5	1	-1
(857, 8)	0	0	0	0	0	0	0	0	12	2	4	5	4	0	2	1	0
(9, 11)	27	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
(11, 9)	27	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(9, 20)	27	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
(20, 9)	27	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
(9, 28)	14	1	6	0	2	3	1	3	0	0	0	0	0	0	0	0	1
(28, 9)	14	2	0	0	1	3	0	0	6	1	0	0	0	3	0	0	0
(9, 55)	13	1	4	0	3	3	1	0	0	0	0	0	0	0	0	0	1
(55, 9)	13	3	0	0	1	3	0	0	4	1	0	0	0	0	0	0	0
(10, 11)	33	0	0	0	5	4	0	0	2	1	0	0	0	0	0	0	0
(11, 10)	33	5	2	0	0	4	1	0	0	0	0	0	0	0	0	0	1
(10, 20)	20	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
(20, 10)	20	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
(10, 23)	10	3	4	0	1	4	0	0	0	0	4	0	0	0	1	0	1
(23, 10)	10	1	0	0	3	4	0	0	4	0	4	1	0	0	0	0	0
(10, 25)	10	11	0	0	3	2	0	0	1	2	0	0	0	0	0	0	0
(25, 10)	10	3	1	0	11	2	2	0	0	0	0	0	0	0	0	0	0
(10, 26)	24	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0
(26, 10)	24	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
(10, 28)	22	0	8	0	2	3	0	1	1	0	4	1	0	0	0	1	1
(28, 10)	22	2	1	0	0	3	0	0	8	0	4	0	0	1	1	1	0
(10, 29)	16	0	1	0	6	1	1	0	1	0	1	0	0	0	0	0	0
(29, 10)	16	6	1	0	0	1	0	0	1	1	1	0	0	0	0	0	1
(10, 55)	5	1	8	0	2	1	0	0	2	0	6	0	0	0	0	1	0
(55, 10)	5	2	2	0	1	1	0	0	8	0	6	0	0	0	0	1	0
(10, 80)	16	2	3	0	0	1	0	0	1	1	2	0	0	0	1	0	0
(80, 10)	16	0	1	0	2	1	1	0	3	0	2	1	0	0	0	0	0
(10, 94)	3	17	0	4	0	2	0	0	0	0	0	2	0	0	0	1	0
(94, 10)	3	0	0	0	17	2	0	0	0	0	0	0	4	0	2	1	0
(10, 255)	17	1	0	0	3	1	1	0	1	0	1	0	0	0	0	0	0
(255, 10)	17	3	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0
(11, 12)	21	9	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
(12, 11)	21	2	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
(11, 14)	25	4	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
(14, 11)	25	1	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0
(11, 15)	12	1	35	12	0	1	0	0	0	0	0	0	0	0	0	0	1
(15, 11)	12	0	0	0	1	1	0	0	35	0	0	0	12	0	0	0	0
(11, 20)	50	11	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0
(20, 11)	50	2	0	0	11	4	0	0	0	0	0	0	0	0	0	0	0
(11, 21)	32	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
(21, 11)	32	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 23)	9	9	7	0	0	3	0	0	0	0	0	0	0	0	0	0	0
(23, 11)	9	0	0	0	9	3	0	0	7	0	0	0	0	0	0	0	0
(11, 24)	71	13	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
(24, 11)	71	2	0	0	13	2	0	0	0	0	0	0	0	0	0	0	0
(11, 25)	17	15	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
(25, 11)	17	0	0	0	15	2	0	0	0	0	0	0	0	0	0	0	0
(11, 27)	20	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
(27, 11)	20	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0
(11, 28)	41	6	13	1	1	4	1	0	0	0	0	0	0	0	0	0	1
(28, 11)	41	1	0	0	6	4	0	0	13	1	0	0	1	0	0	0	0
(11, 29)	33	10	5	1	6	0	1	0	0	0	0	0	0	0	0	0	0
(29, 11)	33	6	0	0	10	0	0	0	5	1	0	0	1	0	0	0	0
(11, 35)	25	0	30	0	0	1	1	0	0	0	0	0	0	0	0	0	0
