	(0, 0, 0, 0)	(0, 0, 0, 1)	(0, 0, 1, 0)	(0, 0, 1, 1)	(0, 1, 0, 0)	(0, 1, 0, 1)	(0, 1, 1, 0)	(0, 1, 1, 1)	(1, 0, 0, 0)	(1, 0, 0, 1)	(1, 0, 1, 0)	(1, 0, 1, 1)	(1, 1, 0, 0)	(1, 1, 0, 1)	(1, 1, 1, 0)	(1, 1, 1, 1)	edge_sign
(308, 6)	23	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
(6, 310)	33	0	10	0	0	0	0	0	1	0	4	0	0	0	0	0	0
(310, 6)	33	0	1	0	0	0	0	0	10	0	4	0	0	0	0	0	0
(6, 311)	26	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0
(311, 6)	26	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0
(6, 312)	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(312, 6)	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(6, 317)	28	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0
(317, 6)	28	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0
(6, 319)	21	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	1
(319, 6)	21	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0
(6, 371)	20	0	3	0	0	0	0	0	1	0	3	0	0	0	0	0	1
(371, 6)	20	0	1	0	0	0	0	0	3	0	3	0	0	0	0	0	0
(6, 600)	22	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	1
(600, 6)	22	0	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0
(6, 789)	19	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(789, 6)	19	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
(6, 805)	15	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0
(805, 6)	15	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0	0
(6, 922)	21	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1
(922, 6)	21	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0
(6, 993)	25	0	15	0	0	0	0	0	1	0	1	0	0	0	0	0	1
(993, 6)	25	0	1	0	0	0	0	0	15	0	1	0	0	0	0	0	0
(6, 1006)	28	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1006, 6)	28	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
(6, 1279)	23	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0
(1279, 6)	23	0	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0
(6, 1549)	20	0	6	0	0	0	0	0	1	0	2	0	0	0	0	0	1
(1549, 6)	20	0	1	0	0	0	0	0	6	0	2	0	0	0	0	0	0
(8, 9)	26	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
(9, 8)	26	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(8, 10)	27	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	1
(10, 8)	27	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	1
(8, 11)	50	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
(11, 8)	50	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(8, 19)	21	0	3	0	0	0	0	0	2	0	3	0	0	0	0	0	1
(19, 8)	21	0	2	0	0	0	0	0	3	0	3	0	0	0	0	0	0
(8, 20)	39	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
(20, 8)	39	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(8, 21)	26	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
(21, 8)	26	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(8, 25)	26	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
(25, 8)	26	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(8, 26)	40	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
(26, 8)	40	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(8, 27)	24	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
(27, 8)	24	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(8, 28)	36	0	6	0	0	0	0	0	2	0	8	0	0	0	0	0	1
(28, 8)	36	0	2	0	0	0	0	0	6	0	8	0	0	0	0	0	1
(8, 29)	30	0	7	0	0	0	0	0	3	0	2	0	0	0	0	0	0
(29, 8)	30	0	3	0	0	0	0	0	7	0	2	0	0	0	0	0	1
(8, 35)	15	0	8	0	0	0	0	0	1	0	1	0	0	0	0	0	0
(35, 8)	15	0	1	0	0	0	0	0	8	0	1	0	0	0	0	0	0
(8, 36)	19	0	4	0	0	0	0	0	3	0	1	0	0	0	0	0	1
(36, 8)	19	0	3	0	0	0	0	0	4	0	1	0	0	0	0	0	0
(8, 39)	16	0	2	0	0	0	0	0	4	0	3	0	0	0	0	0	1
(39, 8)	16	0	4	0	0	0	0	0	2	0	3	0	0	0	0	0	0
(8, 55)	15	0	8	0	0	0	0	0	2	0	5	0	0	0	0	0	1
(55, 8)	15	0	2	0	0	0	0	0	8	0	5	0	0	0	0	0	1
(8, 72)	22	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0
(72, 8)	22	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	1
(8, 80)	18	0	5	0	0	0	0	0	5	0	1	0	0	0	0	0	1
(80, 8)	18	0	5	0	0	0	0	0	5	0	1	0	0	0	0	0	0
(8, 86)	10	0	13	0	0	0	0	0	2	0	4	0	0	0	0	0	1
(86, 8)	10	0	2	0	0	0	0	0	13	0	4	0	0	0	0	0	0
(8, 138)	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(138, 8)	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(8, 236)	17	0	6	0	0	0	0	0	1	0	2	0	0	0	0	0	1
(236, 8)	17	0	1	0	0	0	0	0	6	0	2	0	0	0	0	0	0
(8, 255)	21	0	6	0	0	0	0	0	2	0	2	0	0	0	0	0	0
(255, 8)	21	0	2	0	0	0	0	0	6	0	2	0	0	0	0	0	0
(8, 271)	0	0	24	0	0	0	0	0	0	0	8	0	0	0	0	0	0
(271, 8)	0	0	0	0	0	0	0	0	24	0	8	0	0	0	0	0	0
(8, 282)	13	0	15	0	0	0	0	0	0	0	4	0	0	0	0	0	1
(282, 8)	13	0	0	0	0	0	0	0	15	0	4	0	0	0	0	0	0
(8, 310)	19	0	13	0	0	0	0	0	0	0	4	0	0	0	0	0	0
(310, 8)	19	0	0	0	0	0	0	0	13	0	4	0	0	0	0	0	0
(8, 312)	25	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
(312, 8)	25	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(8, 319)	19	0	4	0	0	0	0	0	1	0	3	0	0	0	0	0	1
(319, 8)	19	0	1	0	0	0	0	0	4	0	3	0	0	0	0	0	1
(8, 339)	22	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1
(339, 8)	22	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0
(8, 600)	12	0	12	0	0	0	0	0	2	0	4	0	0	0	0	0	1
(600, 8)	12	0	2	0	0	0	0	0	12	0	4	0	0	0	0	0	0
(9, 11)	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 9)	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(9, 20)	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(20, 9)	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(10, 11)	33	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
(11, 10)	33	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(10, 26)	24	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
(26, 10)	24	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(10, 28)	22	0	8	0	0	0	0	0	1	0	4	0	0	0	0	0	1
(28, 10)	22	0	1	0	0	0	0	0	8	0	4	0	0	0	0	0	0
(11, 14)	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(14, 11)	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 15)	12	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(15, 11)	12	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0
(11, 20)	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(20, 11)	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 21)	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(21, 11)	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 24)	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(24, 11)	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 28)	41	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(28, 11)	41	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
(11, 29)	33	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(29, 11)	33	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
(11, 35)	25	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(35, 11)	25	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0
(11, 36)	69	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(36, 11)	69	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
(11, 42)	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(42, 11)	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 56)	9	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(56, 11)	9	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0
(11, 59)	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(59, 11)	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 68)	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(68, 11)	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 71)	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(71, 11)	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 72)	25	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(72, 11)	25	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
(11, 74)	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(74, 11)	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 86)	32	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(86, 11)	32	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
(11, 87)	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(87, 11)	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 122)	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(122, 11)	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 127)	22	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(127, 11)	22	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
(11, 138)	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(138, 11)	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 171)	33	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(171, 11)	33	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
(11, 173)	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(173, 11)	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 215)	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(215, 11)	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 255)	31	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(255, 11)	31	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
(11, 259)	17	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(259, 11)	17	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
(11, 271)	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(271, 11)	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0
(11, 290)	20	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(290, 11)	20	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0
(11, 304)	21	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(304, 11)	21	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
(11, 306)	73	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(306, 11)	73	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
(11, 308)	42	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(308, 11)	42	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
(11, 310)	84	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(310, 11)	84	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
(11, 311)	83	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(311, 11)	83	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
(11, 312)	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(312, 11)	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 315)	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(315, 11)	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 317)	46	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(317, 11)	46	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
(11, 319)	47	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(319, 11)	47	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
(11, 334)	17	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(334, 11)	17	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
(11, 339)	31	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(339, 11)	31	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
(11, 371)	40	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(371, 11)	40	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
(11, 407)	43	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(407, 11)	43	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
(11, 432)	51	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(432, 11)	51	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
(11, 457)	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(457, 11)	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 546)	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(546, 11)	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 556)	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(556, 11)	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 600)	59	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(600, 11)	59	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0
(11, 634)	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(634, 11)	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 650)	33	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(650, 11)	33	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
(11, 663)	44	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(663, 11)	44	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
(11, 686)	27	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(686, 11)	27	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
(11, 697)	20	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(697, 11)	20	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0
(11, 704)	26	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(704, 11)	26	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
(11, 706)	24	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(706, 11)	24	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
(11, 707)	36	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(707, 11)	36	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
(11, 710)	22	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(710, 11)	22	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
(11, 722)	37	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(722, 11)	37	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
(11, 737)	8	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(737, 11)	8	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0
(11, 742)	23	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(742, 11)	23	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
(11, 762)	6	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(762, 11)	6	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0
(11, 766)	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(766, 11)	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 769)	45	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(769, 11)	45	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
(11, 784)	62	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(784, 11)	62	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
(11, 789)	55	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(789, 11)	55	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
(11, 795)	21	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(795, 11)	21	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
(11, 805)	27	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(805, 11)	27	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
(11, 813)	89	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(813, 11)	89	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
(11, 825)	27	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(825, 11)	27	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0
(11, 826)	58	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(826, 11)	58	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
(11, 871)	20	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(871, 11)	20	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
(11, 879)	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(879, 11)	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 904)	25	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(904, 11)	25	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
(11, 922)	66	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(922, 11)	66	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
(11, 937)	11	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(937, 11)	11	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
(11, 941)	31	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(941, 11)	31	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
(11, 946)	27	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(946, 11)	27	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
(11, 971)	22	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(971, 11)	22	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
(11, 978)	21	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(978, 11)	21	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
(11, 988)	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(988, 11)	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 993)	94	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(993, 11)	94	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0
(11, 996)	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(996, 11)	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 1006)	51	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1006, 11)	51	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
(11, 1055)	37	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(1055, 11)	37	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
(11, 1062)	63	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(1062, 11)	63	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
(11, 1075)	21	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(1075, 11)	21	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
(11, 1097)	20	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1097, 11)	20	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
(11, 1098)	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1098, 11)	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 1127)	22	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(1127, 11)	22	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
(11, 1133)	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1133, 11)	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 1135)	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1135, 11)	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 1137)	29	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1137, 11)	29	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
(11, 1151)	115	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(1151, 11)	115	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
(11, 1166)	60	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1166, 11)	60	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0
(11, 1167)	30	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(1167, 11)	30	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
(11, 1193)	13	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(1193, 11)	13	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0
(11, 1201)	10	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(1201, 11)	10	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0
(11, 1202)	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1202, 11)	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(11, 1210)	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1210, 11)	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
