	positive_in_degree	positive_out_degree	negative_in_degree	negative_out_degree
724	54	0	0	0
725	34	0	2	1
726	59	0	0	0
727	29	0	0	0
728	1	0	0	0
729	25	0	0	0
730	74	0	0	0
731	49	3	7	0
732	68	0	5	0
733	432	6	2	0
734	276	0	2	0
735	31	158	2	44
736	6	4	4	0
737	374	16	23	18
738	61	3	8	0
739	138	0	2	0
740	11	0	0	0
741	77	22	11	11
742	77	185	9	12
743	6	1	0	0
744	46	21	10	5
745	25	11	1	0
746	51	18	20	183
747	113	0	19	3
748	262	18	1	0
749	111	1	0	0
750	75	0	1	0
751	36	29	4	7
752	286	11	5	0
753	3	0	0	0
754	262	1	3	0
755	31	0	0	0
756	30	0	0	0
757	96	0	0	0
758	152	54	6	5
759	53	0	19	0
760	1389	149	219	11
761	27	1	23	0
762	32	0	21	6
763	2	1	2	0
44	349	0	0	0
764	4	1	0	0
765	3	0	0	0
766	4	0	1	0
767	21	1	2	0
768	2	0	0	0
769	97	146	5	57
770	1102	0	0	0
771	8	5	0	0
176	275	11	281	3
244	40	4	11	0
542	165	5	33	0
772	26	9	9	0
773	28	0	10	3
774	15	0	17	0
775	2	0	4	0
776	36	186	15	1
777	23	2	7	0
778	13	22	5	0
779	23	12	41	19
780	258	14	7	0
781	32	4	12	0
782	8	17	1	4
783	4	25	3	10
784	9	0	2	0
785	2	4	3	0
786	2	1	0	1
787	82	4	98	0
788	3	0	3	0
789	71	0	23	0
790	28	0	73	0
791	21	0	1	0
792	4	0	3	0
793	2	5	2	2
794	20	4	11	2
795	241	0	57	2
796	6	0	10	6
797	17	2	5	2
30	195	17	65	0
49	37	13	0	0
50	204	0	108	201
51	15	0	0	0
54	80	0	15	0
60	176	53	14	0
69	185	239	22	11
70	340	116	28	0
83	227	144	29	14
85	142	182	43	0
87	287	400	9	0
88	273	177	6	0
95	106	11	4	0
103	193	147	16	2
125	147	0	48	0
127	25	0	15	0
128	97	23	29	0
130	16	1	0	0
131	3	0	0	0
134	54	13	0	0
140	11	3	2	0
142	31	6	3	0
144	48	28	16	119
197	570	401	37	0
231	76	15	34	0
798	17	0	1	0
799	22	145	4	27
800	6	12	0	0
801	80	19	22	2
802	10	32	2	2
803	1	1	0	0
804	1	0	0	0
805	1	1	0	0
806	105	128	8	21
807	29	118	15	208
808	2	0	0	0
809	47	25	10	3
810	1	0	0	0
811	178	192	6	3
812	1	0	0	0
813	231	25	7	25
814	6	1	0	0
815	83	54	55	147
816	3	11	1	0
817	70	0	5	1
818	16	14	0	0
819	117	132	15	1
820	12	7	6	0
821	1	0	0	0
822	5	4	1	1
823	27	41	14	2
824	128	76	31	60
825	5	0	3	0
826	1	0	0	0
827	87	92	8	0
828	3	10	0	1
829	51	200	2	1
830	136	106	0	0
831	5	7	1	0
832	151	155	7	0
833	3	10	0	0
834	10	2	0	2
835	33	196	4	5
836	1	7	0	0
837	147	50	31	12
838	203	368	12	0
839	2	0	0	0
840	4	10	0	0
841	102	232	13	1
842	7	3	0	0
843	12	20	1	0
844	8	43	0	0
845	75	54	11	147
846	223	227	64	94
847	181	172	10	0
848	28	26	2	1
849	129	66	34	0
850	181	133	115	154
851	31	60	9	80
852	2	1	0	0
853	1	1	0	0
854	10	64	0	0
855	92	83	2	2
856	8	21	1	14
857	49	8	0	1
858	3	16	0	0
859	10	48	0	2
860	149	54	32	0
861	3	8	0	0
862	200	158	26	16
863	1	1	0	0
864	2	0	0	0
865	2	0	0	0
866	8	39	1	2
867	6	9	0	3
868	50	132	7	0
869	35	86	34	316
870	0	0	1	0
871	155	3	98	0
872	121	69	68	13
873	101	0	21	1
874	166	202	45	2
875	15	0	4	0
876	127	139	2	0
877	23	0	22	0
878	8	6	1	5
879	1	10	4	0
880	0	0	5	1
881	81	0	17	2
882	4	3	6	3
883	0	0	1	0
884	26	12	9	0
885	159	0	63	0
886	112	10	25	0
887	10	6	3	6
888	72	5	44	0
889	2	0	5	2
890	26	72	1	0
891	3	1	6	0
892	0	0	2	0
893	18	142	1	6
894	3	5	5	0
895	73	84	36	2
896	3	17	4	11
897	5	0	51	0
898	0	0	3	0
899	28	58	9	4
900	12	4	9	0
901	3	14	1	0
902	12	41	2	6
903	0	1	1	0
904	14	2	1	0
905	170	58	75	0
906	270	401	148	0
907	194	0	29	0
908	40	99	4	16
909	66	148	20	8
910	1	0	2	0
911	684	2	309	0
912	121	274	31	0
913	2	8	2	0
914	119	125	19	18
915	0	0	1	0
916	33	29	44	8
917	4	82	1	32
918	0	0	2	0
919	196	56	51	100
920	0	0	5	0
921	15	17	14	0
922	496	155	121	0
923	171	136	94	42
924	22	200	23	1
925	71	128	11	1
926	23	2	6	1
927	58	41	24	12
928	80	30	202	0
929	271	157	83	7
930	117	42	40	47
931	1	0	3	0
932	37	23	29	46
933	195	12	16	10
934	0	0	2	0
935	0	0	1	0
936	0	0	4	0
937	148	31	498	7
938	360	137	102	2
939	0	0	1	0
940	383	232	52	134
941	17	48	10	43
56	69	17	3	0
196	121	0	0	0
942	18	0	0	0
943	2	2	0	0
944	1	0	0	0
945	3	0	1	0
946	18	27	12	0
947	4	1	1	0
948	66	0	0	0
949	302	30	34	10
950	1	0	0	0
951	7	15	1	0
952	3	3	0	0
953	2	9	1	1
954	2	0	0	0
955	4	0	0	0
956	2	1	0	0
957	202	1	10	0
958	34	3	1	1
959	18	12	19	2
960	3	0	0	0
961	6	18	0	0
962	5	0	0	0
963	24	14	2	0
964	8	6	0	0
965	4	0	0	0
966	24	24	0	2
967	11	17	1	0
968	18	35	0	0
969	3	0	0	0
970	2	0	0	0
971	9	12	0	0
972	9	0	0	0
66	174	78	0	0
67	238	387	9	13
71	152	141	3	1
75	178	162	2	0
76	334	54	16	0
79	820	249	84	2
81	154	2	76	0
90	97	0	374	0
92	303	271	5	0
94	237	47	50	0
101	167	112	5	1
120	24	4	17	2
149	219	263	18	3
313	158	11	17	1
599	157	134	0	10
973	295	399	12	0
974	38	5	24	0
975	5	8	0	1
976	57	125	3	78
977	66	4	6	5
978	13	1	1	0
979	93	179	12	10
980	167	313	14	33
981	134	22	39	16
982	70	33	4	5
983	2	0	2	0
984	10	16	0	0
985	22	30	1	0
986	25	41	12	84
987	13	2	1	0
988	27	1	27	0
989	308	36	70	11
990	31	17	36	0
991	61	15	5	1
992	78	26	2	5
993	220	201	26	0
994	9	1	5	0
995	194	0	38	0
996	5	12	0	1
997	143	120	2	19
998	170	136	1	0
999	27	58	15	15
1000	74	159	0	2
1001	97	257	5	7
1002	139	0	2	0
1003	12	3	1	0
1004	130	287	10	99
1005	131	80	117	121
1006	165	8	71	1
1007	5	0	3	0
1008	1	0	0	0
1009	84	0	21	0
1010	30	9	5	0
1011	115	198	44	0
1012	1	0	0	0
1013	100	202	4	0
1014	18	65	5	21
1015	18	23	1	9
1016	43	2	3	0
1017	58	34	3	0
1018	150	119	1	0
1019	4	2	0	0
1020	7	66	3	30
1021	19	6	5	26
1022	15	0	0	0
1023	10	1	1	0
1024	129	1	10	0
1025	6	6	1	1
1026	14	19	8	1
1027	53	12	7	14
1028	163	201	3	0
1029	30	30	1	1
1030	153	11	10	2
1031	88	162	13	0
1032	175	191	16	0
1033	37	9	6	0
1034	153	135	8	2
1035	306	233	10	5
1036	76	67	1	0
1037	88	20	9	13
1038	47	28	0	0
1039	10	4	5	5
1040	19	38	10	0
1041	23	22	4	4
1042	297	217	1	4
1043	37	45	0	0
1044	11	5	1	0
1045	10	0	8	0
1046	21	31	1	0
1047	8	1	1	0
1048	10	0	0	0
1049	22	45	6	6
1050	170	4	129	3
1051	134	28	9	25
1052	921	17	91	1
1053	13	4	0	0
1054	160	10	23	10
1055	208	201	0	0
1056	98	181	3	2
1057	19	6	0	0
1058	27	2	4	0
1059	6	10	0	1
1060	643	0	61	0
1061	21	36	1	2
1062	19	0	1	0
1063	133	118	16	0
1064	39	72	25	0
1065	12	1	7	5
1066	22	22	6	0
1067	49	9	4	4
1068	66	65	6	0
1069	59	111	3	0
1070	209	194	9	0
1071	109	1	1	0
1072	76	255	5	28
1073	58	50	5	2
1074	35	5	13	2
1075	144	160	28	40
1076	118	2	14	0
1077	24	8	2	0
1078	51	97	3	12
1079	83	186	7	14
1080	19	8	1	0
1081	3	1	1	0
1082	31	80	2	1
1083	59	30	6	6
1084	4	15	0	0
1085	49	1	13	0
1086	42	32	29	11
1087	243	401	1	0
1088	235	176	9	0
1089	28	0	6	0
1090	14	4	2	2
1091	15	37	1	2
1092	37	0	13	0
1093	421	136	54	15
1094	8	80	2	3
1095	7	2	4	0
1096	13	0	2	0
1097	29	66	0	0
1098	13	9	2	0
1099	44	74	2	0
1100	29	0	3	4
1101	10	4	1	1
1102	3	0	0	0
1103	82	7	64	2
1104	16	1	4	0
1105	341	5	118	0
1106	1	5	0	0
1107	47	16	2	3
1108	1	0	0	0
1109	5	0	4	0
1110	180	100	5	14
1111	316	402	0	0
1112	35	0	4	0
1113	14	11	4	2
1114	10	5	1	0
1115	14	1	0	0
1116	79	31	31	7
1117	43	17	3	1
1118	339	0	59	0
1119	79	6	10	9
1120	536	104	24	4
1121	125	19	8	2
1122	43	1	19	0
1123	37	37	5	0
1124	1	0	1	1
1125	405	1	123	6
1126	72	90	1	0
1127	54	0	5	0
1128	72	112	2	2
1129	17	15	5	0
1130	11	136	6	4
1131	3	0	0	0
1132	31	0	24	0
1133	132	39	11	0
1134	14	52	4	0
1135	37	0	2	1
1136	196	130	21	0
1137	18	2	1	0
1138	227	25	7	1
1139	41	46	9	31
1140	341	4	32	1
1141	25	2	7	0
1142	16	2	3	1
1143	415	73	45	7
1144	36	133	1	0
1145	2	0	2	0
1146	232	208	7	9
1147	17	11	0	1
1148	116	102	5	9
1149	10	9	4	2
1150	123	141	3	0
1151	3	2	0	0
1152	397	2	138	0
1153	151	178	1	0
1154	31	2	2	0
1155	17	35	0	1
1156	39	4	8	0
1157	11	0	3	0
1158	51	4	67	0
1159	156	157	9	3
1160	8	2	2	0
1161	130	150	33	52
1162	17	58	1	0
1163	2	0	0	0
1164	14	18	11	8
1165	91	40	15	1
1166	37	0	11	1
1167	14	11	12	39
1168	4	0	0	0
1169	3	6	4	0
1170	13	3	0	0
1171	9	6	0	0
1172	1	0	0	2
1173	145	10	76	0
1174	253	15	47	3
1175	28	18	1	1
1176	69	134	4	2
1177	166	263	0	0
1178	1	0	0	0
1179	34	18	4	0
1180	161	10	11	0
1181	4	1	0	0
1182	1	0	0	0
1183	326	86	7	14
1184	6	11	1	2
1185	7	1	0	0
1186	45	0	10	2
1187	102	0	20	2
1188	132	167	14	10
1189	211	0	29	0
1190	28	12	6	0
1191	77	77	2	14
1192	48	102	2	5
1193	130	126	1	1
1194	30	18	1	1
1195	30	12	0	0
1196	1	0	0	0
1197	1	0	0	0
1198	149	97	16	0
1199	92	103	3	0
1200	56	84	3	0
1201	235	0	63	0
1202	9	0	1	0
1203	219	185	3	1
1204	28	3	6	0
1205	15	0	0	0
1206	69	4	22	2
1207	10	1	1	0
1208	5	10	4	38
1209	9	0	0	0
1210	159	153	23	0
1211	7	0	1	0
1212	158	22	14	1
1213	176	190	5	0
1214	1	0	0	0
1215	5	0	0	0
1216	1	7	0	0
1217	38	14	19	2
1218	35	5	9	3
1219	51	3	3	1
1220	305	15	23	15
1221	36	60	8	5
1222	24	31	2	1
1223	146	339	2	5
1224	241	81	20	5
1225	1	1	0	0
1226	121	235	4	0
1227	106	55	8	4
1228	154	36	26	0
1229	6	65	0	0
1230	8	0	1	0
1231	5	0	0	0
1232	1	0	0	0
1233	174	198	18	0
1234	120	105	3	2
1235	7	0	0	0
1236	35	40	4	0
1237	125	0	42	0
1238	43	0	3	0
1239	482	149	149	44
1240	138	44	99	156
1241	259	41	37	0
1242	1	2	2	0
1243	50	12	7	0
1244	2	0	12	106
531	254	58	485	150
1245	60	6	3	0
1246	4	0	0	0
1247	350	53	61	12
1248	27	0	23	0
1249	74	8	16	0
1250	26	0	14	1
1251	118	35	29	0
1252	148	72	103	2
1253	60	1	10	0
1254	4	3	1	0
1255	42	162	1	1
1256	14	25	2	12
1257	1	0	0	1
1258	10	4	0	0
43	87	10	3	0
1259	2	0	0	0
1260	10	0	0	0
1261	4	4	0	0
1262	72	0	6	0
1263	3	0	0	0
1264	80	61	11	0
1265	12	8	0	0
1266	10	47	0	0
1267	20	20	1	0
1268	661	48	107	0
1269	136	16	9	10
1270	7	0	0	0
1271	2	9	1	0
1272	4	0	0	0
1273	54	10	4	1
1274	85	0	0	0
1275	3	6	0	7
1276	7	1	0	0
1277	1	1	0	0
1278	11	169	1	4
1279	6	0	4	0
1280	125	2	172	0
1281	8	0	1	0
1282	80	0	1	0
1283	1	2	0	0
1284	22	0	7	0
1285	50	177	11	23
1286	4	3	0	0
1287	94	81	1	4
1288	9	19	1	4
1289	40	40	8	9
1290	1	1	0	0
1291	26	37	1	0
1292	7	0	2	0
1293	1110	149	0	11
1294	3	0	0	0
1295	20	1	6	0
1296	12	1	1	0
1297	116	44	25	17
1298	204	6	42	1
1299	23	0	0	0
1300	34	29	5	0
1301	7	3	2	0
1302	84	5	13	2
1303	6	22	2	0
1304	32	9	20	1
1305	67	7	35	1
1306	32	203	3	0
1307	47	7	29	43
1308	1	7	1	3
1309	16	12	4	58
1310	89	118	93	83
1311	93	6	36	2
1312	1	0	1	0
1313	97	43	96	160
1314	0	0	6	0
1315	9	2	0	0
100	274	201	23	0
159	116	110	5	1
245	242	87	34	6
510	37	133	2	0
1316	14	0	0	0
1317	3	1	0	0
1318	26	1	3	0
1319	73	17	11	1
1320	19	0	1	0
1321	58	0	22	0
1322	81	28	1	0
1323	99	39	10	1
1324	136	326	1	0
1325	5	46	1	30
1326	40	2	8	1
1327	47	59	0	1
1328	31	5	7	0
1329	37	2	4	2
1330	4	0	1	0
1331	12	4	3	0
1332	208	145	38	43
1333	1	0	0	0
1334	191	0	50	0
1335	14	0	5	1
1336	30	24	11	11
1337	28	4	0	0
1338	37	2	0	0
1339	1	2	2	0
1340	9	58	0	0
1341	36	0	1	0
1342	46	133	7	20
1343	40	11	27	24
1344	239	130	228	10
1345	2	1	0	0
1346	99	157	0	0
1347	20	14	2	9
1348	50	3	13	0
1349	12	3	2	1
1350	139	152	3	0
1351	12	2	3	10
1352	16	4	6	0
1353	133	351	14	26
1354	17	0	2	0
1355	59	0	35	0
1356	7	0	5	0
1357	117	82	4	0
1358	2	2	0	2
1359	26	2	3	0
1360	188	0	112	0
1361	133	15	14	0
1362	45	29	3	2
1363	2	0	0	0
1364	118	0	37	0
1365	38	202	19	0
1366	1	0	0	0
1367	2	0	0	0
1368	90	31	55	12
1369	22	0	6	0
1370	107	90	17	3
1371	106	2	9	0
1372	1	0	0	0
1373	36	0	9	0
1374	39	15	3	1
1375	24	72	10	129
1376	25	1	2	2
1377	72	41	8	13
1378	5	5	1	3
1379	54	8	11	1
1380	10	0	2	0
1381	51	81	1	3
1382	351	12	58	70
1383	12	46	1	8
1384	1	0	0	0
1385	5	7	1	0
1386	21	2	11	6
1387	96	77	4	1
1388	1	0	0	0
1389	286	153	34	65
1390	1	4	0	0
1391	70	0	5	3
1392	76	202	1	0
1393	135	84	9	5
1394	71	0	2	0
1395	61	12	4	0
1396	41	1	9	0
1397	34	134	6	67
1398	48	25	13	10
1399	31	0	5	0
1400	52	29	34	37
1401	15	0	4	0
1402	27	28	6	1
1403	32	0	13	0
1404	42	61	17	21
1405	35	1	3	0
1406	145	132	10	0
1407	1	0	0	0
1408	7	1	2	0
1409	15	20	2	2
1410	3	0	0	0
1411	4	0	0	0
1412	42	44	0	0
1413	28	0	1	0
1414	23	1	10	0
1415	18	0	2	0
1416	2	0	0	0
1417	314	185	93	0
1418	59	71	10	0
1419	2	0	0	0
1420	9	57	0	4
1421	32	7	10	4
1422	10	0	1	0
1423	64	4	6	0
1424	42	2	4	0
1425	1	0	0	0
1426	80	2	27	74
1427	20	1	0	0
1428	12	7	1	0
1429	84	37	16	0
1430	1	0	1	0
1431	2	0	3	0
1432	2	0	1	0
1433	9	2	3	1
1434	16	29	3	1
1435	0	0	29	0
1436	3	0	7	0
1437	1	0	2	0
1438	66	18	130	2
1439	199	76	44	5
1440	0	0	1	0
1441	89	12	21	0
36	23	16	1	0
57	19	6	3	0
108	10	6	1	1
143	6	10	1	1
145	2	3	2	0
146	5	4	2	0
147	6	3	1	0
1442	1	0	0	0
1443	1	0	0	0
1444	1	0	0	0
1445	29	7	2	2
1446	4	0	0	0
1447	178	145	27	3
1448	72	13	13	0
1449	2	1	0	0
1450	3	10	0	26
1451	4	0	3	0
1452	10	14	5	1
1453	6	1	0	0
1454	7	6	5	1
1455	18	0	2	0
1456	4	6	1	0
1457	2	0	0	0
1458	3	0	0	0
1459	7	0	0	0
1460	9	9	1	0
1461	31	14	39	4
1462	20	7	14	0
1463	85	86	49	0
1464	4	0	3	0
1465	28	0	6	0
1466	4	3	2	0
1467	2	0	0	0
1468	70	196	52	6
1469	78	125	30	205
1470	29	3	15	0
1471	95	42	35	65
1472	2	9	4	7
1473	42	65	15	55
1474	2	1	1	1
1475	20	9	5	5
1476	2	15	3	24
1477	0	31	1	17
1478	6	3	3	4
1479	29	18	20	22
1480	49	30	19	10
1481	5	10	2	17
1482	0	23	3	6
1483	27	3	20	3
1484	36	164	9	199
1485	56	49	247	54
1486	0	9	1	5
1487	41	66	6	12
1488	1	2	1	8
1489	4	19	1	4
1490	16	3	21	198
1491	1	7	1	4
1492	3	19	1	23
1493	14	27	11	173
1494	17	98	6	88
1495	27	39	36	162
1496	3	9	1	13
1497	18	97	1	1
1498	77	151	101	50
1499	2	27	8	78
1500	131	16	16	4
1501	11	25	0	1
1502	29	0	0	0
1503	1	1	0	0
1504	117	110	14	0
1505	67	0	0	0
1506	1	1	1	1
168	161	31	46	4
1528	112	138	54	173
1589	254	2	195	2
1723	190	144	89	0
1731	239	4	58	0
1762	53	8	14	2
1872	128	41	100	3
1881	55	15	16	2
1934	272	34	27	0
1964	247	1	34	0
2127	46	45	30	0
2358	191	60	90	141
2477	160	15	137	0
2488	104	1	16	1
2497	111	106	9	19
2731	155	3	10	0
2832	26	0	10	0
3052	55	53	41	0
3078	44	4	35	195
3110	62	0	26	0
3115	76	28	22	6
3295	159	0	54	0
3313	8	0	4	0
3323	17	5	6	3
3640	69	23	60	7
3781	76	4	15	2
3883	5	1	3	0
4096	216	11	102	2
4098	48	114	37	89
4370	143	187	12	0
4387	127	196	95	0
4865	90	22	20	114
5431	77	31	96	7
5766	4	0	24	0
6495	41	0	0	0
6850	149	4	107	5
6881	26	6	15	72
7687	95	12	65	9
7704	65	0	0	0
7940	18	1	8	0
8364	186	0	0	0
8365	10	0	1	0
8366	4	0	1	0
8367	25	0	0	0
8368	7	43	0	10
8369	2	0	5	0
8370	14	5	0	0
8371	15	36	3	2
8372	7	3	4	0
8373	1	0	0	0
8374	7	0	4	0
8375	2	1	1	0
8376	2	12	1	0
8377	6	6	7	0
8378	1	0	2	0
8379	54	12	11	0
8380	84	0	17	0
8381	23	2	4	0
8382	1	1	1	3
8383	5	11	3	4
8384	9	4	5	2
8385	2	0	1	3
8386	1	0	1	0
8387	0	0	1	0
8388	50	17	49	21
8389	28	6	8	0
8390	10	16	8	1
8391	1	3	1	0
8392	21	45	7	10
8393	4	0	24	1
8394	1	4	2	5
8395	15	0	39	0
1668	43	31	41	2
1793	53	27	53	2
1819	101	104	28	52
1877	199	335	50	0
1896	21	0	19	0
1921	64	20	60	152
1928	121	66	150	9
1929	109	95	81	0
2013	204	4	246	0
2205	50	11	96	0
2434	13	2	5	0
2973	103	39	23	0
3423	43	0	30	0
3491	62	75	78	2
3666	74	2	23	0
4891	45	22	1	5
5049	125	16	131	2
5244	49	125	47	0
5363	70	48	181	1
5464	34	38	7	28
5651	59	188	59	19
5789	30	61	61	2
6000	22	1	0	0
6012	43	7	9	10
6015	31	64	64	20
6112	53	61	59	1
6683	82	31	16	109
6771	65	17	44	2
6796	58	54	32	3
6955	35	46	23	3
7721	107	112	43	6
8281	14	0	0	0
8396	10	0	4	0
8397	35	0	0	0
8398	7	0	5	0
8399	1	0	0	0
8400	9	0	1	0
8401	6	14	5	2
8402	48	32	41	4
8403	38	75	25	2
8404	5	3	7	0
8405	21	74	5	10
8406	1	0	0	0
8407	13	0	16	1
8408	7	0	2	0
8409	15	5	4	0
8410	17	11	1	5
8411	44	44	4	7
8412	59	0	14	0
8413	7	10	5	0
32	8	11	0	0
34	12	0	0	0
35	322	25	47	0
37	79	11	17	4
38	101	27	5	2
39	6	0	4	0
40	16	0	0	0
42	11	4	0	0
45	47	19	1	1
46	8	17	0	1
3882	27	0	4	0
8414	3	21	0	1
8415	1	0	0	0
180	144	342	13	0
181	1	0	0	0
182	29	62	6	0
183	83	99	5	0
184	8	8	0	0
185	23	71	3	17
186	3	2	0	0
187	9	9	6	1
188	3	5	1	1
189	4	9	0	0
190	20	11	0	0
192	23	16	6	86
193	79	0	0	0
194	54	45	13	23
195	75	26	9	0
7052	2	1	0	0
7053	7	8	1	3
7054	2	2	0	0
7055	3	10	0	0
7056	3	6	0	2
7057	3	0	0	0
7058	3	2	0	0
7059	1	3	0	0
179	13	0	148	0
476	51	54	2	61
3871	64	7	9	0
4094	10	4	15	0
4391	27	97	11	272
5480	176	182	19	20
8416	5	0	1	0
8417	14	10	2	6
8418	8	5	0	0
8419	2	1	0	0
8420	24	14	6	5
8421	4	1	0	0
8422	13	2	19	0
2057	342	0	25	0
2356	19	0	0	0
2943	73	0	1	0
3229	43	2	0	0
4206	161	1	0	0
4258	96	0	3	0
5912	107	1	1	0
5986	9	0	8	0
6005	66	0	2	0
8423	1	1	0	0
8424	3	0	0	0
8425	2	0	0	0
2097	9	0	0	0
2099	16	0	4	0
2964	26	16	7	10
3035	30	30	0	0
4212	14	0	1	0
7411	41	0	1	0
7700	23	2	0	0
7711	19	0	2	0
8426	1	1	1	0
8427	10	0	0	0
8428	7	4	0	0
8429	1	0	0	0
8430	1	4	0	0
8431	51	9	55	13
8432	4	0	0	0
8433	6	4	2	1
3217	336	201	177	12
7821	2	6	121	0
8434	4	11	0	0
8435	19	0	0	0
8436	23	19	0	7
53	55	52	13	151
62	616	160	177	27
74	51	78	26	32
216	21	53	27	12
526	20	98	4	5
1895	99	64	43	5
1918	39	27	32	1
1919	62	85	23	2
1922	54	16	36	0
1923	96	193	142	9
1924	40	2	35	0
1935	92	155	411	12
1939	67	171	70	0
1951	16	0	26	0
2494	43	71	9	4
2518	85	94	147	21
2585	62	13	22	6
2619	74	70	51	1
2624	13	16	8	10
2631	138	10	58	0
2637	24	52	16	5
2640	87	44	39	28
2655	24	47	7	5
2659	20	2	26	3
2670	90	37	66	2
2676	88	52	65	4
2695	67	116	39	4
2891	74	121	52	27
2895	70	127	141	18
2919	40	33	25	3
2920	150	134	39	8
3004	14	3	8	1
3005	6	40	15	0
3006	15	32	17	44
3410	17	0	15	3
3445	28	116	10	14
3694	38	43	62	5
3759	24	1	29	0
3892	26	1	4	0
4003	59	0	93	1
4108	35	34	26	0
4109	14	12	18	0
4110	19	28	23	5
4691	34	17	49	11
4692	20	13	9	5
4693	52	75	22	1
4813	38	31	12	6
4892	17	21	8	10
4941	87	110	84	0
5052	37	68	18	12
5169	54	51	50	2
5266	27	6	16	5
5281	61	21	108	4
5301	37	153	27	50
5559	15	18	29	3
5564	57	8	21	4
5781	45	122	22	1
6208	47	0	46	0
6487	8	0	28	0
6619	9	0	9	12
6631	11	29	15	33
6802	24	21	22	13
6811	19	0	8	0
6813	32	60	21	0
6816	21	32	23	44
6905	1	0	14	0
6913	19	10	49	0
6953	5	0	27	0
6963	17	22	13	1
6964	7	13	13	0
6970	17	36	14	2
7040	16	0	23	0
7226	15	0	29	0
7503	14	193	10	0
7671	30	0	16	0
7681	24	57	3	14
7725	1	1	9	1
7731	25	87	21	11
7735	25	21	22	0
7737	28	4	16	0
7745	6	30	2	1
7930	5	7	8	0
7931	9	1	7	0
7933	17	1	16	2
7934	7	5	9	1
7938	9	11	8	5
7948	8	29	10	1
8247	15	0	14	0
8338	21	61	48	75
8351	11	0	16	0
8544	14	99	13	4
8545	3	15	10	45
8557	4	0	6	0
8558	17	37	36	51
8560	8	1	10	0
8731	27	0	26	9
10112	24	9	48	3
10903	6	6	9	3
10940	0	0	3	0
10941	1	0	5	0
10942	17	0	7	0
10943	0	0	4	0
10944	0	0	10	0
10945	13	2	8	0
10946	33	16	16	18
10947	15	0	3	0
10948	6	0	3	0
10949	1	3	4	0
