,"(0, 0, 0, 0)","(0, 0, 0, 1)","(0, 0, 1, 0)","(0, 0, 1, 1)","(0, 1, 0, 0)","(0, 1, 0, 1)","(0, 1, 1, 0)","(0, 1, 1, 1)","(1, 0, 0, 0)","(1, 0, 0, 1)","(1, 0, 1, 0)","(1, 0, 1, 1)","(1, 1, 0, 0)","(1, 1, 0, 1)","(1, 1, 1, 0)","(1, 1, 1, 1)"
"('586', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('3', '590')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('590', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '39')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('39', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('3', '604')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('604', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '611')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('611', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('3', '271')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('271', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '25')",9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('25', '3')",9,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"('3', '6')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('6', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('3', '8')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('8', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('3', '33')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('33', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '50')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('50', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '127')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('127', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('3', '23')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('23', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '154')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('154', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('3', '252')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('252', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '257')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('257', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('3', '261')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('261', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('3', '273')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('273', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('3', '19')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('19', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('3', '299')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('299', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '302')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('302', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('3', '322')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('322', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('3', '80')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('80', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '94')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('94', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('3', '356')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('356', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '358')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('358', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('3', '339')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('339', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '363')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('363', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '370')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('370', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '373')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('373', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '377')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('377', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '379')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('379', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '415')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('415', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('3', '226')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('226', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '422')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('422', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '428')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('428', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('3', '8282')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('8282', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '192')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('192', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('3', '8284')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('8284', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('3', '514')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('514', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('3', '75')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('75', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '55')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('55', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '560')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('560', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '282')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('282', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('3', '592')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('592', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '280')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('280', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '224')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('224', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '645')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('645', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('3', '650')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('650', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '255')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('255', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '664')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('664', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('3', '667')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('667', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '675')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('675', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '310')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('310', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '306')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('306', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '325')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('325', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '739')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('739', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '246')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('246', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '756')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('756', '3')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('3', '706')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('706', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '600')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('600', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '549')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('549', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '407')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('407', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '723')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('723', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '673')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('673', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '659')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('659', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '308')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('308', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('3', '864')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('864', '3')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '54')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"('54', '30')",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"('30', '214')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"('214', '30')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"('30', '28')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"('28', '30')",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"('30', '286')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"('286', '30')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"('30', '300')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"('300', '30')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"('30', '348')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"('348', '30')",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"('30', '349')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"('349', '30')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"('30', '178')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"('178', '30')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"('30', '8283')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"('8283', '30')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"('30', '108')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"('108', '30')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"('30', '567')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"('567', '30')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"('30', '152')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"('152', '30')",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"('30', '182')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"('182', '30')",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"('30', '581')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"('581', '30')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"('30', '371')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"('371', '30')",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"('30', '584')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"('584', '30')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"('30', '586')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"('586', '30')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"('30', '590')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"('590', '30')",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"('30', '39')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"('39', '30')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"('30', '604')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"('604', '30')",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"('30', '611')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"('611', '30')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"('30', '271')",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"('271', '30')",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"('30', '25')",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"('25', '30')",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"('30', '6')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('6', '30')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('30', '8')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('8', '30')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('30', '33')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('33', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '50')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('50', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '127')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('127', '30')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('30', '23')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('23', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '154')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('154', '30')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('30', '252')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('252', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '257')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('257', '30')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('30', '261')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('261', '30')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('30', '273')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('273', '30')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('30', '19')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('19', '30')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('30', '299')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('299', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '302')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('302', '30')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('30', '322')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('322', '30')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('30', '80')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('80', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '94')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('94', '30')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('30', '356')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('356', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '358')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('358', '30')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('30', '339')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('339', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '363')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('363', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '370')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('370', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '373')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('373', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '377')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('377', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '379')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('379', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '415')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('415', '30')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('30', '226')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('226', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '422')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('422', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '428')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('428', '30')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('30', '8282')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('8282', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '192')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('192', '30')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('30', '8284')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('8284', '30')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('30', '514')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('514', '30')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('30', '75')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('75', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '55')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('55', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '560')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('560', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '282')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('282', '30')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('30', '592')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('592', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '280')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('280', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '224')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('224', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '645')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('645', '30')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('30', '650')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('650', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '255')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('255', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '664')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('664', '30')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('30', '667')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('667', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '675')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('675', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '310')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('310', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '306')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('306', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '325')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('325', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '739')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('739', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '246')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('246', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '756')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('756', '30')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('30', '706')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('706', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '600')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('600', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '549')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('549', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '407')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('407', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '723')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('723', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '673')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('673', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '659')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('659', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '308')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('308', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('30', '864')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"('864', '30')",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('54', '214')",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
